CaseId,PaperModule,Slug,Sha,Modules,TestName,PaperOutcome,MinimizerSha,MinimizerTestName,IdentityMatch,Minimized-Location,Delay,CriticalPoint,BarrierPoint,Threshold,Runtime,FixVariantCount,LocationSource,ArchivedMatchStatus,OriginalSheetCriticalPoint,OriginalSheetBarrierPoint,OriginalSheetThreshold
FS001,M1,Accenture/mercury,8586dc79f8bf75a929896f0aac03fe95824d9578,system/platform-core,org.platformlambda.core.MulticastTest#routingTest,fixed,8586dc79f8bf75a929896f0aac03fe95824d9578,org.platformlambda.core.MulticastTest#routingTest,exact,org/platformlambda/core/system/Platform#168,3200,org/platformlambda/core/system/EventEmitter#85~org/platformlambda/core/system/EventEmitter#85[6400],org.platformlambda.core.MulticastTest#63,1,93.724004232,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 66),exact,org/platformlambda/core/system/EventEmitter#85~org/platformlambda/core/system/EventEmitter#85[6400],org.platformlambda.core.MulticastTest#63,1
FS002,M2,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.DataServerTest#readTest,fixed,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.DataServerTest#readTest,exact,tachyon/client/TachyonFS#281;tachyon/thrift/ClientFileInfo#1166,12800,tachyon/thrift/ClientFileInfo#1272~tachyon/thrift/ClientFileInfo#1273[12800],tachyon.DataServerTest#45,1,178.546460536,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 67),exact,tachyon/thrift/ClientFileInfo#1272~tachyon/thrift/ClientFileInfo#1273[12800],tachyon.DataServerTest#45,1
FS003,M2,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.WorkerServiceHandlerTest#evictionTest,fixed,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.WorkerServiceHandlerTest#evictionTest,exact,tachyon/thrift/MasterService$worker_heartbeat_args#7588,800,tachyon/thrift/MasterService$worker_heartbeat_args#7588~tachyon/thrift/MasterService$worker_heartbeat_args#7588[800],tachyon.WorkerServiceHandlerTest#103,1,41.587179935,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 68),exact,tachyon/thrift/MasterService$worker_heartbeat_args#7588~tachyon/thrift/MasterService$worker_heartbeat_args#7588[800],tachyon.WorkerServiceHandlerTest#103,1
FS004,M2,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#deleteFileTest,fixed,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#deleteFileTest,exact,tachyon/thrift/MasterService$worker_heartbeat_args#7614,100,tachyon/thrift/MasterService$worker_heartbeat_args#7614~tachyon/thrift/MasterService$worker_heartbeat_args#7619[100],tachyon.client.TachyonFSTest#120,62,379.132486464,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 69),exact,tachyon/thrift/MasterService$worker_heartbeat_args#7614~tachyon/thrift/MasterService$worker_heartbeat_args#7619[100],tachyon.client.TachyonFSTest#120,62
FS005,M2,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#lockBlockTest1,fixed,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#lockBlockTest1,exact,tachyon/thrift/Command#421,800,tachyon/Worker#76~tachyon/Worker#82[800];tachyon/Worker#88~tachyon/Worker#90[800];tachyon/Worker#104~tachyon/Worker#104[800];tachyon/Worker#109~tachyon/Worker#109[800];tachyon/Worker#127~tachyon/Worker#127[800];,tachyon.client.TachyonFSTest#236,1,27.565840261,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 70),exact,tachyon/Worker#76~tachyon/Worker#82[800];tachyon/Worker#88~tachyon/Worker#90[800];tachyon/Worker#104~tachyon/Worker#104[800];tachyon/Worker#109~tachyon/Worker#109[800];tachyon/Worker#127~tachyon/Worker#127[800];,tachyon.client.TachyonFSTest#236,1
FS006,M2,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#unlockBlockTest1,fixed,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#unlockBlockTest1,exact,tachyon/thrift/Command#421,800,tachyon/Worker#76~tachyon/Worker#82[800];tachyon/Worker#88~tachyon/Worker#90[800];tachyon/Worker#104~tachyon/Worker#104[800];tachyon/Worker#109~tachyon/Worker#109[800];tachyon/Worker#127~tachyon/Worker#127[800];,tachyon.client.TachyonFSTest#349,1,27.402044303,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 71),exact,tachyon/Worker#76~tachyon/Worker#82[800];tachyon/Worker#88~tachyon/Worker#90[800];tachyon/Worker#104~tachyon/Worker#104[800];tachyon/Worker#109~tachyon/Worker#109[800];tachyon/Worker#127~tachyon/Worker#127[800];,tachyon.client.TachyonFSTest#349,1
FS007,M2,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#unlockBlockTest3,fixed,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#unlockBlockTest3,exact,tachyon/Worker#127,1600,tachyon/Worker#76~tachyon/Worker#82[1600];tachyon/Worker#88~tachyon/Worker#90[1600];tachyon/Worker#104~tachyon/Worker#104[1600];tachyon/Worker#109~tachyon/Worker#109[1600];tachyon/Worker#127~tachyon/Worker#127[1600];,tachyon.client.TachyonFSTest#412,1,30.065486213,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 72),exact,tachyon/Worker#76~tachyon/Worker#82[1600];tachyon/Worker#88~tachyon/Worker#90[1600];tachyon/Worker#104~tachyon/Worker#104[1600];tachyon/Worker#109~tachyon/Worker#109[1600];tachyon/Worker#127~tachyon/Worker#127[1600];,tachyon.client.TachyonFSTest#412,1
FS008,M3,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario0,fixed,fa3909c391195178ccf5a92d4ac342a30ae247c8,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario0,exact,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#646,3200,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#645~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#648[3200];org/java_websocket/client/WebSocketClient$WebsocketWriteThread#660~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#661[3200];,org.java_websocket.util.ThreadCheck#61,1,78.019517352,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 2),exact,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#645~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#648[3200];org/java_websocket/client/WebSocketClient$WebsocketWriteThread#660~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#661[3200];,org.java_websocket.util.ThreadCheck#61,1
FS009,M3,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario2,fixed,fa3909c391195178ccf5a92d4ac342a30ae247c8,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario2,exact,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#646,3200,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#645~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#648[3200];org/java_websocket/client/WebSocketClient$WebsocketWriteThread#660~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#661[3200];,org.java_websocket.util.ThreadCheck#61,1,81.268913070,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 3),exact,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#645~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#648[3200];org/java_websocket/client/WebSocketClient$WebsocketWriteThread#660~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#661[3200];,org.java_websocket.util.ThreadCheck#61,1
FS010,M3,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario3,fixed,fa3909c391195178ccf5a92d4ac342a30ae247c8,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario3,exact,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#646,3200,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#645~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#648[3200];org/java_websocket/client/WebSocketClient$WebsocketWriteThread#660~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#661[3200];,org.java_websocket.util.ThreadCheck#61,1,81.177970328,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 4),exact,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#645~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#648[3200];org/java_websocket/client/WebSocketClient$WebsocketWriteThread#660~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#661[3200];,org.java_websocket.util.ThreadCheck#61,1
FS011,M3,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario4,fixed,fa3909c391195178ccf5a92d4ac342a30ae247c8,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario4,exact,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#646,3200,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#645~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#648[3200];org/java_websocket/client/WebSocketClient$WebsocketWriteThread#660~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#661[3200];,org.java_websocket.util.ThreadCheck#61,1,81.512174641,1,source/artifact/expected_results/Results-Barrier/Result.csv (selected archived row(s) 5),exact,org/java_websocket/client/WebSocketClient$WebsocketWriteThread#645~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#648[3200];org/java_websocket/client/WebSocketClient$WebsocketWriteThread#660~org/java_websocket/client/WebSocketClient$WebsocketWriteThread#661[3200];,org.java_websocket.util.ThreadCheck#61,1
