CaseId,Slug,Sha,Modules,TestName,Outcome,PatchGoalExitCode,PatchGoalTimedOut,PatchCount,PatchBytes,WorkspaceRestored,ChangedSourceCount,LeakedOrigCount,Ledger
FS001,Accenture/mercury,8586dc79f8bf75a929896f0aac03fe95824d9578,system/platform-core,org.platformlambda.core.MulticastTest#routingTest,usable-patch-emitted,0,False,2,2621,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS001/metadata.json
FS002,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.DataServerTest#readTest,usable-patch-emitted,0,False,2,2446,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS002/metadata.json
FS003,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.WorkerServiceHandlerTest#evictionTest,usable-patch-emitted,0,False,2,2625,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS003/metadata.json
FS004,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#deleteFileTest,usable-patch-emitted,0,False,2,2348,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS004/metadata.json
FS005,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#lockBlockTest1,usable-patch-emitted,0,False,2,2102,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS005/metadata.json
FS006,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#unlockBlockTest1,usable-patch-emitted,0,False,2,2104,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS006/metadata.json
FS007,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#unlockBlockTest3,usable-patch-emitted,0,False,2,2104,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS007/metadata.json
FS008,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario0,patch-goal-nonzero,1,False,0,0,False,1,2,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS008/metadata.json
FS009,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario2,patch-goal-nonzero,1,False,0,0,False,1,2,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS009/metadata.json
FS010,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario3,patch-goal-nonzero,1,False,0,0,False,1,2,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS010/metadata.json
FS011,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario4,patch-goal-nonzero,1,False,0,0,False,1,2,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS011/metadata.json
FS012,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario5,patch-goal-nonzero,1,False,0,0,False,1,2,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS012/metadata.json
FS013,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue580Test#runNoCloseBlockingTestScenario8,patch-goal-nonzero,1,False,0,0,False,1,2,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS013/metadata.json
FS014,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue677Test#testIssue,usable-patch-emitted,0,False,2,2134,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS014/metadata.json
FS015,activiti/activiti,b11f757a,activiti-spring,org.activiti.spring.test.jobexecutor.SpringAsyncExecutorTest#testHappyJobExecutorPath,patch-goal-nonzero,1,False,0,0,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS015/metadata.json
FS016,alibaba/wasp,b2593d8,.,com.alibaba.wasp.executor.TestExecutorService#testExecutorService,usable-patch-emitted,0,False,2,2346,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS016/metadata.json
FS017,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-remoting/dubbo-remoting-netty,org.apache.dubbo.remoting.exchange.support.header.HeartbeatHandlerTest#testHeartbeat,no-usable-patch-emitted,0,False,0,0,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS017/metadata.json
FS018,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest#testDemoProtocol,no-usable-patch-emitted,0,False,0,0,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS018/metadata.json
FS019,apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest#testNonSerializedParameter,no-usable-patch-emitted,0,False,0,0,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS019/metadata.json
FS020,apache/httpcore,49247d208bde47f652812493e1d3576e136b8eb8,httpcore,org.apache.http.pool.TestConnPool#testLeaseTimeout,usable-patch-emitted,0,False,2,2326,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS020/metadata.json
FS021,apache/incubator-uniffle,6fb2a9a63132ab9abbde2f1f9240f9caf2f5d0f0,common,org.apache.uniffle.common.rpc.GrpcServerTest#testGrpcExecutorPool,usable-patch-emitted,0,False,2,2336,True,0,0,<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/cases/FS021/metadata.json
