original_source,published_path,original_bytes,original_sha256,published_bytes,published_sha256,transformation
<PRIVATE_STUDY_ROOT>/runs/artifact_location_patch_generation/case_outcomes.csv,data/generation/case_outcomes_67.csv,21960,3c8b1c0f8fdb8a64951874069cc2c5668f246c08c4eaccf0a6b1c634d951d312,19749,7c42afeae6bdf6af3af2335de0705d7b9cdda03151dd63c9c3f062b2c6a381e1,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/corpus/paper_fixed_67_artifact_locations.audit.json,data/corpus/artifact_locations_audit.json,3077,0a168cab09935defa8d8f654b8bc24709a29a887c9e8bc0bf7331dfc053b3c83,3077,0a168cab09935defa8d8f654b8bc24709a29a887c9e8bc0bf7331dfc053b3c83,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/corpus/paper_fixed_67_artifact_locations.csv,data/corpus/paper_success_cases_67.csv,57766,d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,57766,d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/static-patch-cohort-v1/summary.json,data/static/generated_patch_summary.json,8173,9653dd1fb29b51897f3b1b996c1e126468cf4b5ba40618a3816fa75be2f73ef2,8173,9653dd1fb29b51897f3b1b996c1e126468cf4b5ba40618a3816fa75be2f73ef2,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/evidence/static_patch_cohort_v1_inventory.csv,data/static/generated_patch_inventory.csv,43626,a589f8c96f284d418f8c3becabb5576e9e6d2fe59249810a3e6b3a1f3aea7f92,43626,a589f8c96f284d418f8c3becabb5576e9e6d2fe59249810a3e6b3a1f3aea7f92,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/repair_artifact_cohort_20_v2/summary.json,data/reliability/repair_cohort_summary.json,18875,b719d94aa731f980fd044db4f5c1f0575d91ab3b6eca11374b717fad4de46fa6,18809,5d4bc7c1e187fa97ed6ccbcf15a4f94cd1d56c64fb1d316fb6737f913f275bbf,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/repair_artifact_cohort_20_v2/repair_artifact_case_findings.csv,data/reliability/repair_case_findings.csv,37360,3a4a6146fc6f71fbb50ba559051be5027792251f64cfaf1db5aa1deddcf49a14,36700,978f1c96b84cf44bb8861a8625da643a54dc235bbc9fc5a592175951a397b70e,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/artifact_location_patch_counter_race/counter_race_summary.json,data/races/counter_race_summary.json,523,128540873f98c58e39ecfa39fabacf87e92169c9b59df305060e6712fb3ae27f,490,f9d5bb3caaa27e4dc293c32c90ec215e881c1620664b34fe78f1a07a6d15e280,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/artifact_location_patch_counter_race/counter_race_case_findings.csv,data/races/counter_race_case_findings.csv,564,96ae3fc95528c6cd88456b39884235f3abfe1659633dc5038ef6748f005fc858,498,5f42611c0c34b6d0bf736aeb74fc2216db4a8ff86231d5783e6a57f1f8aa8c6b,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/developer_comparator_comparison/summary.json,data/developer/comparison_summary.json,27133,08af0201f76d945879eb415a615349fce32c2137d732d3587192544051789cc0,27133,08af0201f76d945879eb415a615349fce32c2137d732d3587192544051789cc0,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/developer_comparator_comparison/developer_comparator_case_matrix.csv,data/developer/case_matrix.csv,26709,fb2135917674bab585eb5dfa5863011d981e016678f318906509bca4bbab6f20,26115,c7eafaafe71339b3e0a51bf56e6d22bdc1d186fbbdf12baf4532058e5946845c,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/developer_fix_search_expansion_v1/coverage_67_audit.json,data/developer/coverage_67.json,29459,df678c64e0164516d8a68b840f8611d80f8b420db98b108c687be51caea97e1c,29459,df678c64e0164516d8a68b840f8611d80f8b420db98b108c687be51caea97e1c,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/developer_fix_search_expansion_v1/screening_decisions_v1.json,data/developer/screening_decisions.json,5120,7f644b8a38a2580a8f4d565fc8b5ed4481f3cc288c3bf40d35bd0f4dd393efd6,5120,7f644b8a38a2580a8f4d565fc8b5ed4481f3cc288c3bf40d35bd0f4dd393efd6,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/fs059_neighbor_frequency_v2.json,data/special/fs059_neighbor_frequency.json,2604,fbb9b00bc1f1675f89a60ad2f2393555ded49dfa82ad1f2d19b86ed2412d3da5,2604,fbb9b00bc1f1675f89a60ad2f2393555ded49dfa82ad1f2d19b86ed2412d3da5,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/fs059_worker_crossover_v3.json,data/special/fs059_worker_crossover.json,2265,da5b23c5b28018ac2a1318b27f9fdda600126d16e1e370e1350196d05adc2a4e,2265,da5b23c5b28018ac2a1318b27f9fdda600126d16e1e370e1350196d05adc2a4e,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/results/fs057_exact_runtime_source_linkage_v1.json,data/linkage/fs057_runtime_source.json,7345,6e7d0b0bb3eaa3416eee3d0e4983b241944a39051ec7773af7fcb2b8e31b916b,7345,6e7d0b0bb3eaa3416eee3d0e4983b241944a39051ec7773af7fcb2b8e31b916b,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/evidence/reliability_aware_repair_contract_v1.json,contract/reliability_contract.json,21354,8ebcbc88aed6e437dee72806b5bcaaf7a5ef092483433c90c779aa5dde77f286,21354,8ebcbc88aed6e437dee72806b5bcaaf7a5ef092483433c90c779aa5dde77f286,private filesystem roots replaced with stable placeholders
<PRIVATE_OFFICIAL_REPRODUCTION_ROOT>/results/speed_confirmation_cohort_final.json,data/official/exact_confirmation_3.json,2856,4294fdbd1a709a1a0c7d4b64693c5b07917533bee7e84fb452ea96f1446f857c,2856,4294fdbd1a709a1a0c7d4b64693c5b07917533bee7e84fb452ea96f1446f857c,private filesystem roots replaced with stable placeholders
<PRIVATE_OFFICIAL_REPRODUCTION_ROOT>/evidence/frozen_full_confirmation_cohort_21.json,data/official/full_confirmation_cohort_21.json,9234,52234cb4456afbcf4843490324e402330d1e4602356c41efeb5f8e6db33856b2,9234,52234cb4456afbcf4843490324e402330d1e4602356c41efeb5f8e6db33856b2,private filesystem roots replaced with stable placeholders
<PRIVATE_OFFICIAL_REPRODUCTION_ROOT>/results/full_confirmation_progress.json,data/official/full_confirmation_progress.json,1121,04d7b67ebd163ea7b64803aa14587e43ed39d4fcc23ed64e5928badf4a6c53c4,1121,04d7b67ebd163ea7b64803aa14587e43ed39d4fcc23ed64e5928badf4a6c53c4,private filesystem roots replaced with stable placeholders
<PRIVATE_OFFICIAL_REPRODUCTION_ROOT>/results/wasp-replicate-analysis.json,data/official/wasp_replicates.json,9604,d4375a4e97bc5cdee576f69bb92180e8249f627e6a3d5d4b561a889b79652138,9394,8a786a1a386f4dbc4e4acb018a86287ff18283669f83ae9f56b08654aee09df3,private filesystem roots replaced with stable placeholders
<PRIVATE_OFFICIAL_REPRODUCTION_ROOT>/runs/repair-confirmations/wasp-100/summary.json,data/official/wasp_confirmation_100.json,3853,562dee2c1ee90e46eea36941bbe336a46f67f5b572c1d4b19e5a005924d7c3a9,3853,562dee2c1ee90e46eea36941bbe336a46f67f5b572c1d4b19e5a005924d7c3a9,private filesystem roots replaced with stable placeholders
<PRIVATE_OFFICIAL_REPRODUCTION_ROOT>/runs/repair-confirmations/fs011-100/summary.json,data/official/fs011_confirmation_100.json,3750,839426a8fb09dcc4b9e2ac31f931170419374f5606f5a77252f2b5c21792557c,3750,839426a8fb09dcc4b9e2ac31f931170419374f5606f5a77252f2b5c21792557c,private filesystem roots replaced with stable placeholders
<PRIVATE_OFFICIAL_REPRODUCTION_ROOT>/runs/repair-confirmations/fs012-100/summary.json,data/official/fs012_confirmation_100.json,3753,1cc26c04ff1a93afa35cbdf744719a4576a6a925b3edfd33ab7ccb27fc77550d,3753,1cc26c04ff1a93afa35cbdf744719a4576a6a925b3edfd33ab7ccb27fc77550d,private filesystem roots replaced with stable placeholders
<PRIVATE_STUDY_ROOT>/runs/reliable_repair_additional_a_v1/FS005/validation.json,data/reliable_repairs/validations/FS005.json,6153,49fb0e0a00c68fc4e65c80de8c4bcccd1485e4d6299cd02e04d15abcd35f094f,4404,c228a21403398731c38ce7e92860ddb42d66acf0eb4da7c2b62bf218494f1549,private paths and raw-log references removed while verdicts and compact counted evidence were retained
<PRIVATE_STUDY_ROOT>/runs/reliable_repair_poc_v2/FS014/validation.json,data/reliable_repairs/validations/FS014.json,35843,1491ce9d331da6a6877bb152f2d3263f8ac6a857470f205f65ce4c631b27d615,4394,274c5586abee095fb1fbb1cf3104605caa9a38dc6f2a71ce8d689b0b4790a584,private paths and raw-log references removed while verdicts and compact counted evidence were retained
<PRIVATE_STUDY_ROOT>/runs/reliable_repair_poc_v1/FS020/validation.json,data/reliable_repairs/validations/FS020.json,9825,3f464ae0a2e501180ee4dceca53277830279cc0f93e7121731a36405a1b394fd,3541,fe92a94c619da289b86ec8c9330fab3081ecacb47da8a087fa13029dbcf39283,private paths and raw-log references removed while verdicts and compact counted evidence were retained
<PRIVATE_STUDY_ROOT>/runs/reliable_repair_poc_v1/FS056/validation.json,data/reliable_repairs/validations/FS056.json,9009,a6d287a79ec71ce9275ef4adcfa4d07138bf57e73d8dfb5c0f8ae2073017e0dc,3619,fff06ed729265767e29f621d4d95beab0787321ab0f562c4f7c39ae8f9960ba7,private paths and raw-log references removed while verdicts and compact counted evidence were retained
<PRIVATE_STUDY_ROOT>/runs/reliable_repair_poc_v1/FS059/validation.json,data/reliable_repairs/validations/FS059.json,29110,5759eab4d4606ee19709d8137a1387838d9836d7517e044ff49b2e98471cf50f,3347,8fc1c5369468c3a788fef73ca8a1c9b2d6f96852d1dc4316d5e851b4acfd2f33,private paths and raw-log references removed while verdicts and compact counted evidence were retained
