CaseId,Track,TrackVersion,OfficialFullWorkflowReproduction,SearchStagesRerun,PaperModule,RosterStatus,Slug,SourceRevision,Modules,TestName,LedgerOutcome,MetadataFile,MetadataSha256,PatchFile,PatchBytesLedger,PatchBytesActual,PatchSha256Ledger,PatchSha256Actual,PatchHashVerified,UnifiedDiffValid,UnifiedDiffErrors,InputPath,InputSha256,InputHashVerified,SourceMapSha256,BuildLedger,BuildLedgerSha256,SourceSnapshotSha256,LedgerVerified,shared_static_mutable_counter,non_atomic_compound_increment,unbounded_condition_wait,busy_spin_yield,missing_interrupt_path,entry_reset_without_exit_cleanup,entry_reset_can_erase_early_signal,production_code_test_hook,generic_helper_collision_surface,absolute_diff_header,unbraced_control_flow_capture,UnbracedControlFlowEvidence
FS001,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M1,paper-confirmed-fixed,Accenture/mercury,8586dc79f8bf75a929896f0aac03fe95824d9578,system/platform-core,org.platformlambda.core.MulticastTest#routingTest,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS001/metadata.json,e21a13381fe259d2f416c96b6f3eb8ff6decce92b53071d521dc5440aaac4b0b,runs/artifact_location_patch_generation/cases/FS001/patches/EventEmitter.java.patch,1318,1318,42a1edd03ea8c5cc44282f571a3685d5b34ae20fc1caecb96e7ab93f9f2e944d,42a1edd03ea8c5cc44282f571a3685d5b34ae20fc1caecb96e7ab93f9f2e944d,1,1,,runs/artifact_location_patch_generation/cases/FS001/inputs/org.platformlambda.core.MulticastTest.routingTest-BarrierPoints.csv,6a19cecaaa827d83e00300bf666af1f3c2393b1b58f3a3c133c01d1c540cef4b,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Accenture__mercury__8586dc79f8bf__72986babee20/build.json,ef8dac7e31eceb4626a996aff57b1167ffdc483f8bbada378ebb86ad1d0d5094,cae523b804253c72163289d11f3fa93b9cbc9e1eadb995452fa6b23b86ff2731,1,1,1,0,0,0,0,0,1,1,1,0,[]
FS001,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M1,paper-confirmed-fixed,Accenture/mercury,8586dc79f8bf75a929896f0aac03fe95824d9578,system/platform-core,org.platformlambda.core.MulticastTest#routingTest,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS001/metadata.json,e21a13381fe259d2f416c96b6f3eb8ff6decce92b53071d521dc5440aaac4b0b,runs/artifact_location_patch_generation/cases/FS001/patches/MulticastTest.java.patch,1303,1303,7397e4f5be3ccf7fc36f6f3a62f8557635faf73c43a1e8869286cc77d6c55eac,7397e4f5be3ccf7fc36f6f3a62f8557635faf73c43a1e8869286cc77d6c55eac,1,1,,runs/artifact_location_patch_generation/cases/FS001/inputs/org.platformlambda.core.MulticastTest.routingTest-BarrierPoints.csv,6a19cecaaa827d83e00300bf666af1f3c2393b1b58f3a3c133c01d1c540cef4b,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Accenture__mercury__8586dc79f8bf__72986babee20/build.json,ef8dac7e31eceb4626a996aff57b1167ffdc483f8bbada378ebb86ad1d0d5094,cae523b804253c72163289d11f3fa93b9cbc9e1eadb995452fa6b23b86ff2731,1,0,0,1,1,1,1,1,0,1,1,0,[]
FS002,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M2,paper-confirmed-fixed,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.DataServerTest#readTest,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS002/metadata.json,9d38599c6c54ea31e52a57813caea930a5233c41c74e3740f4c2f0413a96c7fb,runs/artifact_location_patch_generation/cases/FS002/patches/ClientFileInfo.java.patch,1401,1401,a1396230a3fc67fca5ff93636afda21d7d1bb11f9a5d29e1fd23e2f037b29d4d,a1396230a3fc67fca5ff93636afda21d7d1bb11f9a5d29e1fd23e2f037b29d4d,1,1,,runs/artifact_location_patch_generation/cases/FS002/inputs/tachyon.DataServerTest.readTest-BarrierPoints.csv,fa5dceffe3956773c4fae77bac87ea9fc80e9effe7e331277440d61e5ccc80c6,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Alluxio__alluxio__78c063ae1812__e6362fb318bb/build.json,d2c4badc1375849ea3ee5983e3a3d1ad3d1b68f3c4d521d0261b70b2930e7c4e,4afa8c4e41328bae31265f98c756a811d4550f1a0a47bf100c42e9198ba98c6c,1,1,1,0,0,0,0,0,1,1,1,0,[]
FS002,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M2,paper-confirmed-fixed,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.DataServerTest#readTest,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS002/metadata.json,9d38599c6c54ea31e52a57813caea930a5233c41c74e3740f4c2f0413a96c7fb,runs/artifact_location_patch_generation/cases/FS002/patches/DataServerTest.java.patch,1045,1045,af65f98fc8584717c6aba86afcbb087e2dc3734da6dc4882b82e00399e479100,af65f98fc8584717c6aba86afcbb087e2dc3734da6dc4882b82e00399e479100,1,1,,runs/artifact_location_patch_generation/cases/FS002/inputs/tachyon.DataServerTest.readTest-BarrierPoints.csv,fa5dceffe3956773c4fae77bac87ea9fc80e9effe7e331277440d61e5ccc80c6,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Alluxio__alluxio__78c063ae1812__e6362fb318bb/build.json,d2c4badc1375849ea3ee5983e3a3d1ad3d1b68f3c4d521d0261b70b2930e7c4e,4afa8c4e41328bae31265f98c756a811d4550f1a0a47bf100c42e9198ba98c6c,1,0,0,1,1,1,1,1,0,1,1,0,[]
FS003,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M2,paper-confirmed-fixed,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.WorkerServiceHandlerTest#evictionTest,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS003/metadata.json,8962beda7ef502c0ded0f3aac1852f4661c6309e42acbd2cc3540c08a4fb1947,runs/artifact_location_patch_generation/cases/FS003/patches/MasterService.java.patch,1293,1293,595ffe709381ddd5157bbfe7e382de2798a7a4a67cd7f541e9733de93269c481,595ffe709381ddd5157bbfe7e382de2798a7a4a67cd7f541e9733de93269c481,1,1,,runs/artifact_location_patch_generation/cases/FS003/inputs/tachyon.WorkerServiceHandlerTest.evictionTest-BarrierPoints.csv,33cf6e6181a1cb3d70dc50064a0d818b605ed7510686ff55fa2b08a3b5010170,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Alluxio__alluxio__78c063ae1812__e6362fb318bb/build.json,d2c4badc1375849ea3ee5983e3a3d1ad3d1b68f3c4d521d0261b70b2930e7c4e,4afa8c4e41328bae31265f98c756a811d4550f1a0a47bf100c42e9198ba98c6c,1,1,1,0,0,0,0,0,1,1,1,0,[]
FS003,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M2,paper-confirmed-fixed,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.WorkerServiceHandlerTest#evictionTest,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS003/metadata.json,8962beda7ef502c0ded0f3aac1852f4661c6309e42acbd2cc3540c08a4fb1947,runs/artifact_location_patch_generation/cases/FS003/patches/WorkerServiceHandlerTest.java.patch,1332,1332,a27a9c61426c9514ff7dd72d5426bf58941ab2aad3274fa6f3deaf61801aea57,a27a9c61426c9514ff7dd72d5426bf58941ab2aad3274fa6f3deaf61801aea57,1,1,,runs/artifact_location_patch_generation/cases/FS003/inputs/tachyon.WorkerServiceHandlerTest.evictionTest-BarrierPoints.csv,33cf6e6181a1cb3d70dc50064a0d818b605ed7510686ff55fa2b08a3b5010170,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Alluxio__alluxio__78c063ae1812__e6362fb318bb/build.json,d2c4badc1375849ea3ee5983e3a3d1ad3d1b68f3c4d521d0261b70b2930e7c4e,4afa8c4e41328bae31265f98c756a811d4550f1a0a47bf100c42e9198ba98c6c,1,0,0,1,1,1,1,1,0,1,1,0,[]
FS004,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M2,paper-confirmed-fixed,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#deleteFileTest,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS004/metadata.json,d5f67783000f662d8a2dd707eca7e21b163bf21bf9209386703f3bd8c38d1eee,runs/artifact_location_patch_generation/cases/FS004/patches/MasterService.java.patch,1222,1222,147945c4bf1c02818fb8a47565e025df1910d905b9db75229523850304dc55dd,147945c4bf1c02818fb8a47565e025df1910d905b9db75229523850304dc55dd,1,1,,runs/artifact_location_patch_generation/cases/FS004/inputs/tachyon.client.TachyonFSTest.deleteFileTest-BarrierPoints.csv,3ad262178a45e6f2dbc969b015422b9563a9cd5743a87e63d184ab4b5db8ac5c,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Alluxio__alluxio__78c063ae1812__e6362fb318bb/build.json,d2c4badc1375849ea3ee5983e3a3d1ad3d1b68f3c4d521d0261b70b2930e7c4e,4afa8c4e41328bae31265f98c756a811d4550f1a0a47bf100c42e9198ba98c6c,1,1,1,0,0,0,0,0,1,1,1,0,[]
FS004,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M2,paper-confirmed-fixed,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#deleteFileTest,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS004/metadata.json,d5f67783000f662d8a2dd707eca7e21b163bf21bf9209386703f3bd8c38d1eee,runs/artifact_location_patch_generation/cases/FS004/patches/TachyonFSTest.java.patch,1126,1126,04b97b1443013ec29f9264787977c6e4284c11d23f757ae5b2552f10fa39c27e,04b97b1443013ec29f9264787977c6e4284c11d23f757ae5b2552f10fa39c27e,1,1,,runs/artifact_location_patch_generation/cases/FS004/inputs/tachyon.client.TachyonFSTest.deleteFileTest-BarrierPoints.csv,3ad262178a45e6f2dbc969b015422b9563a9cd5743a87e63d184ab4b5db8ac5c,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Alluxio__alluxio__78c063ae1812__e6362fb318bb/build.json,d2c4badc1375849ea3ee5983e3a3d1ad3d1b68f3c4d521d0261b70b2930e7c4e,4afa8c4e41328bae31265f98c756a811d4550f1a0a47bf100c42e9198ba98c6c,1,0,0,1,1,1,1,1,0,1,1,0,[]
FS005,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M2,paper-confirmed-fixed,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#lockBlockTest1,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS005/metadata.json,1cb2924add850f1fb06294b168ca66dae877fcadadb9826cd87f8ca206cc9313,runs/artifact_location_patch_generation/cases/FS005/patches/TachyonFSTest.java.patch,956,956,01abf01eb8d5b5c1ee22ed2df3ee1183d82cb38ad8fd02403f53a1f98c76d343,01abf01eb8d5b5c1ee22ed2df3ee1183d82cb38ad8fd02403f53a1f98c76d343,1,1,,runs/artifact_location_patch_generation/cases/FS005/inputs/tachyon.client.TachyonFSTest.lockBlockTest1-BarrierPoints.csv,c87e9c5126987fbd4e63e1b9184c71b3d1602a1c9df6dd14e5fe45a1ab086a21,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Alluxio__alluxio__78c063ae1812__e6362fb318bb/build.json,d2c4badc1375849ea3ee5983e3a3d1ad3d1b68f3c4d521d0261b70b2930e7c4e,4afa8c4e41328bae31265f98c756a811d4550f1a0a47bf100c42e9198ba98c6c,1,0,0,1,1,1,1,1,0,1,1,0,[]
FS005,Track B: archived-location patch generation,archived-input-v2-pinned-flakesync-patch-goal|d2620120e9559c8db786165bea690f10874664d78c665f411fb36be13c840b28,0,0,M2,paper-confirmed-fixed,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#lockBlockTest1,usable-patch-emitted,runs/artifact_location_patch_generation/cases/FS005/metadata.json,1cb2924add850f1fb06294b168ca66dae877fcadadb9826cd87f8ca206cc9313,runs/artifact_location_patch_generation/cases/FS005/patches/Worker.java.patch,1146,1146,c4d201778b9d8772c9cdc202af2d2ac5fd889c8186331ddbc6879cdb86ee133e,c4d201778b9d8772c9cdc202af2d2ac5fd889c8186331ddbc6879cdb86ee133e,1,1,,runs/artifact_location_patch_generation/cases/FS005/inputs/tachyon.client.TachyonFSTest.lockBlockTest1-BarrierPoints.csv,c87e9c5126987fbd4e63e1b9184c71b3d1602a1c9df6dd14e5fe45a1ab086a21,1,7e23fe64b8ee7dd7d42589186b6fe4e42786dc4db460561d3a9969857a6c1618,runs/builds/Alluxio__alluxio__78c063ae1812__e6362fb318bb/build.json,d2c4badc1375849ea3ee5983e3a3d1ad3d1b68f3c4d521d0261b70b2930e7c4e,4afa8c4e41328bae31265f98c756a811d4550f1a0a47bf100c42e9198ba98c6c,1,1,1,0,0,0,0,0,1,1,1,0,[]
