Project,SourceRevision,RepositoryUrl
Accenture/mercury,8586dc79f8bf75a929896f0aac03fe95824d9578,https://github.com/Accenture/mercury
Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,https://github.com/Alluxio/alluxio
TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,https://github.com/TooTallNate/Java-WebSocket
activiti/activiti,b11f757a,https://github.com/activiti/activiti
alibaba/wasp,b2593d8,https://github.com/alibaba/wasp
apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,https://github.com/apache/dubbo
apache/httpcore,49247d208bde47f652812493e1d3576e136b8eb8,https://github.com/apache/httpcore
apache/incubator-uniffle,6fb2a9a63132ab9abbde2f1f9240f9caf2f5d0f0,https://github.com/apache/incubator-uniffle
davidmoten/rxjava2-extras,7663d3b19295f12c35f80594efa1e507e98650b1,https://github.com/davidmoten/rxjava2-extras
doanduyhai/Achilles,e3099bdce342910951c4862c78751fd81ed4552e,https://github.com/doanduyhai/Achilles
elasticjob/elastic-job-lite,a7042cf4872d784d619e4560cdfa0f92b0311965,https://github.com/elasticjob/elastic-job-lite
feroult/yawp,b3bcf9c958d51b3b3f8fdd0ccc26923d5a531da1,https://github.com/feroult/yawp
flaxsearch/luwak,c27ec08c803db6ca6be1b6e8017f45667e603161,https://github.com/flaxsearch/luwak
fluent/fluent-logger-java,2e5fdf2dbed59cc5af88442ceae6cbe72f321060,https://github.com/fluent/fluent-logger-java
javadelight/delight-nashorn-sandbox,da35edc0a75424bad8cbf60959fae253202154c4,https://github.com/javadelight/delight-nashorn-sandbox
kagkarlsson/db-scheduler,4a8a28e60640dcd03e8d3bf212f483d35b0b6310,https://github.com/kagkarlsson/db-scheduler
nlighten/tomcat_exporter,bc6a2d2,https://github.com/nlighten/tomcat_exporter
qos-ch/logback,0f57531977287fd3d8c9046e9f68e281715f3b10,https://github.com/qos-ch/logback
square/okhttp,129c937fb33328e1f4ee8815a94e89676f242c2c,https://github.com/square/okhttp
undertow-io/undertow,d0efffad5d2034bb07525cac9b299dac72c3045d,https://github.com/undertow-io/undertow
vmware/admiral,e4b02936cc7d4ff2714e7231db0c4373ba5d48a2,https://github.com/vmware/admiral
