CaseId,Project,SourceRevision,Module,TestName,PublishedPatch,OriginalBytes,OriginalSha256,PublishedBytes,PublishedSha256,Sanitization,shared_static_mutable_counter,non_atomic_compound_increment,unbounded_condition_wait,busy_spin_yield,missing_interrupt_path,entry_reset_without_exit_cleanup,entry_reset_can_erase_early_signal,production_code_test_hook,generic_helper_collision_surface,absolute_diff_header,unbraced_control_flow_capture
FS001,Accenture/mercury,8586dc79f8bf75a929896f0aac03fe95824d9578,system/platform-core,org.platformlambda.core.MulticastTest#routingTest,patches/generated/FS001/EventEmitter.java.patch,1318,42a1edd03ea8c5cc44282f571a3685d5b34ae20fc1caecb96e7ab93f9f2e944d,1252,4028f7017d675346ee0d0de9d45c2f2c0574108601962410d9c8c5a8dbe2df8d,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS001,Accenture/mercury,8586dc79f8bf75a929896f0aac03fe95824d9578,system/platform-core,org.platformlambda.core.MulticastTest#routingTest,patches/generated/FS001/MulticastTest.java.patch,1303,7397e4f5be3ccf7fc36f6f3a62f8557635faf73c43a1e8869286cc77d6c55eac,1237,ca20158ac79abaea907a4ebbc0eeb4647896c52191b67e4c816e07bbafa23621,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS002,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.DataServerTest#readTest,patches/generated/FS002/ClientFileInfo.java.patch,1401,a1396230a3fc67fca5ff93636afda21d7d1bb11f9a5d29e1fd23e2f037b29d4d,1335,8bfb8f998fea9584cf449eea1fe0b781f691e34218a3c89214b3cd4a75d332c9,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS002,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.DataServerTest#readTest,patches/generated/FS002/DataServerTest.java.patch,1045,af65f98fc8584717c6aba86afcbb087e2dc3734da6dc4882b82e00399e479100,979,76f1445bf349fb98ec23a15c2d31fe7bd3b55c6871d8c0b00fad1383ce225ac1,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS003,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.WorkerServiceHandlerTest#evictionTest,patches/generated/FS003/MasterService.java.patch,1293,595ffe709381ddd5157bbfe7e382de2798a7a4a67cd7f541e9733de93269c481,1227,a6eca1f2332cef420c45fc7fd2d938d4f527af2aa30aca0ee33c95abcf2b49f9,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS003,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.WorkerServiceHandlerTest#evictionTest,patches/generated/FS003/WorkerServiceHandlerTest.java.patch,1332,a27a9c61426c9514ff7dd72d5426bf58941ab2aad3274fa6f3deaf61801aea57,1266,75704ec18e4594b92a82e437f1385f82b31fce337f3fec09dfae661f50ebc9aa,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS004,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#deleteFileTest,patches/generated/FS004/MasterService.java.patch,1222,147945c4bf1c02818fb8a47565e025df1910d905b9db75229523850304dc55dd,1156,159365483f13671f48fbd9634f168dc99f10430c8435ed3620a7d72b0bf0f729,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS004,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#deleteFileTest,patches/generated/FS004/TachyonFSTest.java.patch,1126,04b97b1443013ec29f9264787977c6e4284c11d23f757ae5b2552f10fa39c27e,1060,a6e59b9dcd208415128ec9b97e1d08c1ece9b5bfa7ccadc49d8ddb0eade5434f,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS005,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#lockBlockTest1,patches/generated/FS005/TachyonFSTest.java.patch,956,01abf01eb8d5b5c1ee22ed2df3ee1183d82cb38ad8fd02403f53a1f98c76d343,890,926e1e4b47b9fd1454b482c9a385bf7e8ea8906e729ccb4b4fee297e34f97206,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS005,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#lockBlockTest1,patches/generated/FS005/Worker.java.patch,1146,c4d201778b9d8772c9cdc202af2d2ac5fd889c8186331ddbc6879cdb86ee133e,1080,3bf6d8bbd2cee7dd875c6db574bcc44945bc6d14768ac0b686132a9fe811fff6,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS006,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#unlockBlockTest1,patches/generated/FS006/TachyonFSTest.java.patch,958,584f322c41083f4782f4de99b21cb2842bf01dfd66437cbfdb0fbfea8ee2b4ef,892,0b02e1243e8ef943654000406d45ac6fcef6e0b59e318aa25a570315308c0000,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS006,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#unlockBlockTest1,patches/generated/FS006/Worker.java.patch,1146,dd61ef64be245e91228367c797029301425153471de19604a840dd6dd9b59eb2,1080,7e45536fc4bc108bee377cda404b07076ce5170abe7771c3805914acab411af4,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS007,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#unlockBlockTest3,patches/generated/FS007/TachyonFSTest.java.patch,958,33a06e5284e2e5dade149c0f7955881365539c7a9d3bee78a11060bb16a12346,892,b09a2922a681ef5342ef1dd12ea7788755d579efef612562fc28558e7a74463d,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS007,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,.,tachyon.client.TachyonFSTest#unlockBlockTest3,patches/generated/FS007/Worker.java.patch,1146,167e07aefe949458722baf30803160373fb6604b350018d817849b5027dcd10e,1080,432d68c4007b435a2dd41002b0529d383157c613a7e8d1221108f34a6c9f26a2,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS014,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue677Test#testIssue,patches/generated/FS014/Issue677Test.java.patch,1095,a5b2de5ab0b9dfe74367da288ddbb58c08464add7af42ee0c6421aa816c78009,1029,5ec3ee72cbff9088ae66994ceca7427dd6ef0b2af2b623625857c014a212160b,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
FS014,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue677Test#testIssue,patches/generated/FS014/WebSocketImpl.java.patch,1039,b77b0dd4bda6e27a87946370731e753f900fa90873df83ac468de4997041aa6e,973,d02f50b1f9aff6cacf552db27056d2f16dc32e46b95a95dd7d62791a965122e7,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS016,alibaba/wasp,b2593d8,.,com.alibaba.wasp.executor.TestExecutorService#testExecutorService,patches/generated/FS016/EventHandler.java.patch,1245,745f16a4a3df79a031ba9c15a0319bda37c4e207e06d7a295fea1598a7e2b9f8,1179,8bfadd3b3bc0224b2addc41b41cea062fbc5cebb95f0e576e72b8d582b57796a,private absolute root redacted; patch hunks unchanged,1,1,0,0,0,0,0,1,1,1,0
FS016,alibaba/wasp,b2593d8,.,com.alibaba.wasp.executor.TestExecutorService#testExecutorService,patches/generated/FS016/TestExecutorService.java.patch,1101,11ae248723d958b1edd3e1beb4064ee352f24bfc9fe421b8677c49a59a1e3541,1035,d49db7a9604056686dbf475cf6260a30818e6315806d00619e1228ef69989824,private absolute root redacted; patch hunks unchanged,0,0,1,1,1,1,1,0,1,1,0
