CaseId,Project,Provenance,Applied,Compiled,Ordinary,CausalReplay,SignalLoss,Cancellation,Neighbor,CounterRace,Overall,KnownFailures,Unknowns
FS001,Accenture/mercury,locally-emitted-current-artifact,pass,pass,fail,not_reached,hang,not_evaluable,not_reached,not_applicable_or_not_probed,unreliable,ordinary_gate_failed;signal_loss_hang_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;cancellation_probe_not_eligible;neighbor_result_not_confirmed
FS002,Alluxio/alluxio,locally-emitted-current-artifact,pass,pass,pass,ineffective,bounded,ignored_interrupt_and_hung,pass,not_applicable_or_not_probed,unreliable,causal_ineffectiveness_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS003,Alluxio/alluxio,locally-emitted-current-artifact,pass,pass,pass,ineffective,bounded,not_evaluable,pass,not_applicable_or_not_probed,unreliable,causal_ineffectiveness_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,cancellation_probe_not_eligible
FS004,Alluxio/alluxio,locally-emitted-current-artifact,pass,pass,pass,ineffective,not_evaluable,not_evaluable,pass,inconclusive_no_pair,unreliable,causal_ineffectiveness_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS005,Alluxio/alluxio,locally-emitted-current-artifact,pass,pass,pass,ineffective,hang,ignored_interrupt_and_hung,pass,not_applicable_or_not_probed,unreliable,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS006,Alluxio/alluxio,locally-emitted-current-artifact,pass,pass,pass,ineffective,hang,ignored_interrupt_and_hung,pass,not_applicable_or_not_probed,unreliable,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS007,Alluxio/alluxio,locally-emitted-current-artifact,pass,pass,pass,ineffective,hang,ignored_interrupt_and_hung,pass,not_applicable_or_not_probed,unreliable,causal_ineffectiveness_witness;signal_loss_hang_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS014,TooTallNate/Java-WebSocket,locally-emitted-current-artifact,pass,pass,pass,ineffective,bounded,ignored_interrupt_and_hung,pass,not_applicable_or_not_probed,unreliable,causal_ineffectiveness_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
FS016,alibaba/wasp,locally-emitted-current-artifact,pass,pass,pass,inconclusive,not_evaluable,not_evaluable,pass,not_applicable_or_not_probed,unreliable,generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS018,apache/dubbo,locally-emitted-current-artifact,pass,fail,not_reached,not_reached,not_evaluable,not_evaluable,not_reached,not_applicable_or_not_probed,unreliable,compile_failed;ordinary_gate_failed;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS019,apache/dubbo,locally-emitted-current-artifact,pass,fail,not_reached,not_reached,not_evaluable,not_evaluable,not_reached,not_applicable_or_not_probed,unreliable,compile_failed;ordinary_gate_failed;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,matched_recorded_delay_not_evaluable;causal_effectiveness_not_established;signal_loss_probe_not_eligible;cancellation_probe_not_eligible
FS020,apache/httpcore,locally-emitted-current-artifact,pass,pass,pass,ineffective,bounded,ignored_interrupt_and_hung,pass,not_applicable_or_not_probed,unreliable,causal_ineffectiveness_witness;interruption_failure_witness;generated_shared_static_mutable_counter;generated_unbounded_condition_wait;generated_busy_spin_yield;generated_missing_interrupt_path;generated_entry_reset_without_exit_cleanup,
