Gate,Status,Count,Denominator,CaseIds
apply,pass,20,20,FS001;FS002;FS003;FS004;FS005;FS006;FS007;FS014;FS016;FS018;FS019;FS020;FS021;FS051;FS053;FS054;FS056;FS057;FS058;FS059
apply,fail,0,20,
compile,pass,16,20,FS001;FS002;FS003;FS004;FS005;FS006;FS007;FS014;FS016;FS020;FS051;FS054;FS056;FS057;FS058;FS059
compile,fail,4,20,FS018;FS019;FS021;FS053
ordinary,pass,14,20,FS002;FS003;FS004;FS005;FS006;FS007;FS014;FS016;FS020;FS051;FS054;FS056;FS058;FS059
ordinary,fail,2,20,FS001;FS057
ordinary,not_reached,4,20,FS018;FS019;FS021;FS053
matched_recorded_delay,pass_causal,2,20,FS051;FS059
matched_recorded_delay,fail_causal,10,20,FS002;FS003;FS004;FS005;FS006;FS007;FS014;FS020;FS056;FS058
matched_recorded_delay,inconclusive,2,20,FS016;FS054
matched_recorded_delay,not_reached,6,20,FS001;FS018;FS019;FS021;FS053;FS057
signal_loss,fail_hang,8,20,FS001;FS005;FS006;FS007;FS054;FS057;FS058;FS059
signal_loss,pass_bounded,5,20,FS002;FS003;FS014;FS020;FS051
signal_loss,not_evaluable,7,20,FS004;FS016;FS018;FS019;FS021;FS053;FS056
fault_specific_signal_loss,fail_hang,5,20,FS005;FS006;FS007;FS058;FS059
fault_specific_signal_loss,pass_bounded,5,20,FS002;FS003;FS014;FS020;FS051
fault_specific_signal_loss,not_evaluable,10,20,FS001;FS004;FS016;FS018;FS019;FS021;FS053;FS054;FS056;FS057
cancellation,fail_ignored_interrupt,7,20,FS002;FS005;FS006;FS007;FS014;FS020;FS054
cancellation,pass_bounded,0,20,
cancellation,not_evaluable,13,20,FS001;FS003;FS004;FS016;FS018;FS019;FS021;FS051;FS053;FS056;FS057;FS058;FS059
neighbor,fail_regression,1,20,FS059
neighbor,pass,13,20,FS002;FS003;FS004;FS005;FS006;FS007;FS014;FS016;FS020;FS051;FS054;FS056;FS058
neighbor,not_reached,6,20,FS001;FS018;FS019;FS021;FS053;FS057
reused_jvm,pass,9,20,FS002;FS003;FS004;FS005;FS006;FS007;FS014;FS058;FS059
reused_jvm,unavailable_no_peer,5,20,FS016;FS020;FS051;FS054;FS056
reused_jvm,not_reached,6,20,FS001;FS018;FS019;FS021;FS053;FS057
parallel,pass,1,20,FS014
parallel,inconclusive_execution_not_confirmed,8,20,FS002;FS003;FS004;FS005;FS006;FS007;FS058;FS059
parallel,unavailable_no_peer,5,20,FS016;FS020;FS051;FS054;FS056
parallel,not_reached,6,20,FS001;FS018;FS019;FS021;FS053;FS057
two_writer_counter,fail_lost_update,1,20,FS056
two_writer_counter,inconclusive_no_pair,1,20,FS004
two_writer_counter,not_applicable_or_not_probed,18,20,FS001;FS002;FS003;FS005;FS006;FS007;FS014;FS016;FS018;FS019;FS020;FS021;FS051;FS053;FS054;FS057;FS058;FS059
complete_operational_contract,pass,0,20,
complete_operational_contract,fail,20,20,FS001;FS002;FS003;FS004;FS005;FS006;FS007;FS014;FS016;FS018;FS019;FS020;FS021;FS051;FS053;FS054;FS056;FS057;FS058;FS059
